"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Bayern Munich";34;26;4;4;100;32;82;92.85;36.47;77.33
2;"Borussia Dortmund";34;21;6;7;84;41;69;64.26;42.02;62.48
3;"RasenBallsport Leipzig";34;18;12;4;81;37;66;76.13;37.58;68.71
4;"Borussia M.Gladbach";34;20;5;9;66;40;65;73.58;46.05;62.63
5;"Bayer Leverkusen";34;19;6;9;61;44;63;61.88;49.68;54.62
6;"Hoffenheim";34;15;7;12;53;53;52;56.66;58.75;45.87
7;"Wolfsburg";34;13;10;11;48;46;49;54.43;41.91;55.69
8;"Freiburg";34;13;9;12;48;47;48;46.14;63.37;39.15
9;"Eintracht Frankfurt";34;13;6;15;59;60;45;58.33;50.93;52.72
10;"Hertha Berlin";34;11;8;15;48;59;41;44.3;55.58;39.55
11;"Union Berlin";34;12;5;17;41;58;41;41.58;54.94;39.32
12;"Schalke 04";34;9;12;13;38;58;39;35.93;54.22;35.84
13;"Mainz 05";34;11;4;19;44;65;37;46.19;62.9;39.15
14;"FC Cologne";34;10;6;18;51;69;36;49.28;54.54;43.89
15;"Augsburg";34;9;9;16;45;63;36;43.86;59.12;39.78
16;"Werder Bremen";34;8;7;19;42;69;31;37.74;56.94;35.12
17;"Fortuna Duesseldorf";34;6;12;16;36;67;30;35.69;64.45;32.87
18;"Paderborn";34;4;8;22;37;74;20;38.47;67.83;28.67
