"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Bayern Munich";34;21;8;5;92;38;71;85.12;37.01;71.99
2;"Borussia Dortmund";34;22;5;7;83;44;71;76.97;43.23;64.69
3;"RasenBallsport Leipzig";34;20;6;8;64;41;66;68.84;36.99;67.51
4;"Union Berlin";34;18;8;8;51;38;62;35.07;42.43;42.32
5;"Freiburg";34;17;8;9;51;44;59;50.24;49.66;47.33
6;"Bayer Leverkusen";34;14;8;12;57;49;50;53.68;46.78;52.59
7;"Eintracht Frankfurt";34;13;11;10;58;52;50;53.2;44.53;51.5
8;"Wolfsburg";34;13;10;11;57;48;49;51.21;52.1;47.23
9;"Mainz 05";34;12;10;12;54;55;46;50.49;54.86;45.15
10;"Borussia M.Gladbach";34;11;10;13;52;55;43;52.84;59.04;44.29
11;"FC Cologne";34;10;12;12;49;54;42;51.04;42.07;49.67
12;"Hoffenheim";34;10;6;18;48;57;36;47.31;52.84;42.97
13;"Werder Bremen";34;10;6;18;51;64;36;42.91;57.85;40.48
14;"Bochum";34;10;5;19;40;72;35;40.08;69.44;32.16
15;"Augsburg";34;9;7;18;42;63;34;36.03;65.07;30.23
16;"VfB Stuttgart";34;7;12;15;45;57;33;49.15;48.31;47.31
17;"Schalke 04";34;7;10;17;35;71;31;40.54;61.53;38.76
18;"Hertha Berlin";34;7;8;19;42;69;29;41.44;62.42;34.33
