"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Bayern Munich";34;25;7;2;89;22;82;73.91;27.04;73.76
2;"RasenBallsport Leipzig";34;20;7;7;66;39;67;55.09;40.06;59.54
3;"Borussia Dortmund";34;18;10;6;72;40;64;74.91;34.61;68.06
4;"Hoffenheim";34;16;14;4;64;37;62;54.5;41.44;55.44
5;"FC Cologne";34;12;13;9;51;42;49;45.34;41.27;48.75
6;"Hertha Berlin";34;15;4;15;43;47;49;38.15;49.39;40.4
7;"Freiburg";34;14;6;14;42;60;48;39.41;54.62;39.14
8;"Werder Bremen";34;13;6;15;61;64;45;42.99;60.55;38.82
9;"Borussia M.Gladbach";34;12;9;13;45;49;45;45.82;44.44;47.31
10;"Schalke 04";34;11;10;13;45;40;43;44.86;43.87;46.37
11;"Eintracht Frankfurt";34;11;9;14;36;43;42;43.59;38.33;50.68
12;"Bayer Leverkusen";34;11;8;15;53;55;41;53.1;50.38;49.63
13;"Augsburg";34;9;11;14;35;51;38;33.88;52.26;34.81
14;"Hamburger SV";34;10;8;16;33;61;38;31.91;57.14;31.51
15;"Mainz 05";34;10;7;17;44;55;37;42.36;43.23;46.47
16;"Wolfsburg";34;10;7;17;34;52;37;44.47;46.85;46.38
17;"Ingolstadt";34;8;8;18;36;57;32;44.51;49.19;42.54
18;"Darmstadt";34;7;4;23;28;63;25;33.91;68.04;26.47
