"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Bayern Munich";34;24;5;5;97;37;77;99.91;38.61;78.83
2;"Borussia Dortmund";34;22;3;9;85;52;69;65.65;47.67;58.3
3;"Bayer Leverkusen";34;19;7;8;80;47;64;66.31;45.02;59.23
4;"RasenBallsport Leipzig";34;17;7;10;72;37;58;67.4;44.38;60.59
5;"Union Berlin";34;16;9;9;50;44;57;55.2;39.83;58.28
6;"Freiburg";34;15;10;9;58;46;55;57.73;49.08;52.93
7;"FC Cologne";34;14;10;10;52;49;52;52.3;53.09;49.04
8;"Mainz 05";34;13;7;14;50;45;46;52.08;43.41;50.62
9;"Hoffenheim";34;13;7;14;58;60;46;59.77;57.27;46.7
10;"Borussia M.Gladbach";34;12;9;13;54;61;45;59.92;60.71;49.74
11;"Eintracht Frankfurt";34;10;12;12;45;49;42;41.65;54.38;39.63
12;"Wolfsburg";34;12;6;16;43;54;42;49.27;53.48;44.24
13;"Bochum";34;12;6;16;38;52;42;44.78;58.18;42.87
14;"Augsburg";34;10;8;16;39;56;38;38.95;65.02;33.66
15;"VfB Stuttgart";34;7;12;15;41;59;33;47.91;55.46;40.45
16;"Hertha Berlin";34;9;6;19;37;71;33;37.89;58.79;37.95
17;"Arminia Bielefeld";34;5;13;16;27;53;28;27.22;69.67;22.02
18;"Greuther Fuerth";34;3;9;22;28;82;18;30.64;60.54;26.48
