"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Bayern Munich";34;27;3;4;92;28;84;76.55;30.64;73.52
2;"Schalke 04";34;18;9;7;53;37;63;46.83;39.42;51.69
3;"Hoffenheim";34;15;10;9;66;48;55;50.72;45.2;49.86
4;"Borussia Dortmund";34;15;10;9;64;47;55;66.1;40.86;63.16
5;"Bayer Leverkusen";34;15;10;9;58;44;55;56.98;36.92;61.54
6;"RasenBallsport Leipzig";34;15;8;11;57;53;53;51.42;47.42;48.47
7;"VfB Stuttgart";34;15;6;13;36;36;51;37.91;39.35;46.67
8;"Eintracht Frankfurt";34;14;7;13;45;45;49;41.06;40.91;47.19
9;"Borussia M.Gladbach";34;13;8;13;47;52;47;51.25;52.09;48.93
10;"Hertha Berlin";34;10;13;11;43;46;43;38.58;44.71;41.89
11;"Werder Bremen";34;10;12;12;37;40;42;38.51;43.47;42.7
12;"Augsburg";34;10;11;13;43;46;41;42.26;40.82;45.9
13;"Hannover 96";34;10;9;15;44;54;39;41.22;54.36;39.58
14;"Mainz 05";34;9;9;16;38;52;36;31.65;45.18;37.92
15;"Freiburg";34;8;12;14;32;56;36;36.98;45.66;40.82
16;"Wolfsburg";34;6;15;13;36;48;33;32.11;49.43;34.8
17;"Hamburger SV";34;8;7;19;29;53;31;36.04;54.06;38.59
18;"FC Cologne";34;5;7;22;35;70;22;41.5;67.17;32.18
