"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Bayern Munich";34;24;6;4;99;44;78;75.93;38.87;67.04
2;"RasenBallsport Leipzig";34;19;8;7;60;32;65;67.14;29.24;71.42
3;"Borussia Dortmund";34;20;4;10;75;46;64;68.95;39.44;65.19
4;"Wolfsburg";34;17;10;7;61;37;61;51.59;39.16;55.31
5;"Eintracht Frankfurt";34;16;12;6;69;53;60;60.53;47.73;56.28
6;"Bayer Leverkusen";34;14;10;10;53;39;52;47.28;40.41;50.01
7;"Union Berlin";34;12;14;8;50;43;50;46;43.51;51.71
8;"Borussia M.Gladbach";34;13;10;11;64;56;49;54.11;44.71;52.18
9;"VfB Stuttgart";34;12;9;13;56;55;45;52.18;53.79;47.18
10;"Freiburg";34;12;9;13;52;52;45;45.11;52.98;41.18
11;"Hoffenheim";34;11;10;13;52;54;43;50.32;52.88;45.18
12;"Mainz 05";34;10;9;15;39;56;39;48.46;52.2;44.37
13;"Augsburg";34;10;6;18;36;54;36;36.01;57.15;34.48
14;"Hertha Berlin";34;8;11;15;41;52;35;40.71;46.69;43.21
15;"Arminia Bielefeld";34;9;8;17;26;52;35;31.14;58.98;30.08
16;"FC Cologne";34;8;9;17;34;60;33;39.64;53.18;37.71
17;"Werder Bremen";34;7;10;17;36;57;31;32.51;53.7;33.75
18;"Schalke 04";34;3;7;24;25;86;16;27.66;70.66;20.47
